INSEE_C;taux_vacance_25_pct;taux_vacance_long_25_pct
02173;9.46;4.89
02184;8.82;
02186;10.22;7.34
02187;6.81;3.58
02190;;
02191;;
02195;5.61;
02199;6.97;
02203;8.1;4.93
02204;;
02207;;
02209;13.75;8.88
02212;5.86;
02213;7.27;
02215;5.92;
02217;9.39;6.57
02218;7.04;
02219;;
02226;5.26;3.34
02228;8.97;
02229;;
02231;4.48;
02237;9.88;5.36
02238;5.92;3.95
02239;5.78;
02241;;
02243;4.79;2.22
02245;4.78;
02256;;
02260;6.43;
02262;;0.0
02264;15.65;9.28
02274;15.73;
02275;10.98;
02280;;
02281;9.16;
02282;;
02284;17.72;
02287;5.14;
02289;7.18;
02290;8.16;4.08
02292;4.41;
02295;10.56;7.51
02296;7.47;3.94
02298;7.98;4.89
02299;5.46;
02304;22.55;12.0
02305;11.02;7.19
02307;9.86;5.89
02309;7.64;
02312;7.88;4.81
02315;5.97;3.35
02316;;
02318;7.14;4.41
02321;9.23;5.8
02331;;
02334;7.15;5.27
02338;9.32;
02340;4.12;1.81
02341;9.3;
02342;;
02346;6.04;
02351;;
02352;10.04;5.95
02355;;
02356;;
02357;;
02359;3.39;
02360;6.12;4.57
02361;20.16;7.04
02364;;
02371;5.6;2.95
02374;7.44;
02378;;
02379;11.43;
02381;14.25;7.86
02382;5.51;2.45
02383;3.26;
02387;2.97;
02388;;
02397;8.63;5.82
02407;;
02408;10.87;5.58
02412;;
02414;12.17;
02416;7.98;
02420;7.39;
02423;9.55;
02424;;
02430;9.52;
02439;6.41;3.41
02441;;
02457;10.42;
02468;13.07;9.27
02470;12.87;7.43
02477;3.41;
02478;;
02487;;
02488;;
02489;;
02492;5.39;
02495;5.81;
02497;5.1;2.55
02502;13.54;9.38
02503;9.27;5.9
02504;5.86;3.49
02506;;
02510;14.46;
02514;5.88;
02517;8.7;
02523;;
02525;;
02532;6.33;
02534;;
02539;8.94;
02540;4.54;
02543;10.36;6.5
02544;6.09;
02553;15.97;
02554;6.45;2.93
02555;8.82;4.36
02558;10.89;5.76
02559;11.2;6.8
02564;2.86;
02568;;
02569;8.33;
