INSEE_C;DEP;n;p25;p50;p75;n_small;p50_small
27183;27;6;1355.84;1982.14;2404.89;5;2250
27196;27;4;2356.03;2698.24;2868.49;2;2736.58
27198;27;4;1273.12;1527.73;1715.71;3;1714.29
27203;27;1;1572.73;1572.73;1572.73;1;1572.73
27205;27;4;1217.8;1461.36;1714.85;2;1461.36
27213;27;1;1657.14;1657.14;1657.14;0;0
27220;27;2;1928.42;1933.76;1939.1;2;1933.76
27226;27;7;1232.89;1383.93;1718.58;1;2352.94
27229;27;1179;1403.13;1791.67;2151.61;575;1967.74
27230;27;29;1269.23;1973.07;2114.29;13;2082.98
27251;27;2;1165.76;1277.17;1388.59;2;1277.17
27275;27;150;1422.35;1663.84;1884.56;80;1750
27279;27;13;1637.93;1865.67;2279.07;5;2297.87
27284;27;134;2043.1;2438.26;2776.32;68;2642.97
27299;27;40;1519.58;1649.1;1782.79;22;1724.38
27343;27;1;1929.82;1929.82;1929.82;0;0
27347;27;1;1250;1250;1250;1;1250
27348;27;3;1879.03;1958.06;2196.77;0;0
27351;27;5;1545.45;2040.82;2333.33;3;2333.33
27355;27;33;1673.47;1891.89;2160;22;2047.17
27365;27;2;1635.94;1990.63;2345.31;1;2700
27375;27;175;1444.05;1727.27;2044.17;94;1818.18
27377;27;4;1444.85;1555.39;1591.67;0;0
27385;27;5;1750;1959.15;2021.28;1;2083.33
27386;27;2;1109.69;1323.99;1538.28;0;0
27397;27;1;1547.95;1547.95;1547.95;0;0
27406;27;4;1608.33;1775.75;1833.49;3;1722.22
27425;27;2;1436.3;1687.42;1938.54;0;0
27428;27;31;1827.14;2325.58;2517.45;14;2308.62
27431;27;13;612.82;833.33;955.88;5;433.96
27438;27;11;1317.23;1757.14;1992.8;5;1894.74
27448;27;28;2229.02;2677.12;3115.35;14;2635.42
27467;27;102;1437.53;1904.8;2375.52;43;2000
27469;27;10;1473.68;2036.84;2382.58;2;2117.02
27486;27;1;2166.1;2166.1;2166.1;0;0
27493;27;2;758.91;828.16;897.41;0;0
27500;27;5;1804.88;1964.29;2221.01;1;2243.4
27502;27;1;476.19;476.19;476.19;0;0
27507;27;2;2371.22;2396.29;2421.36;1;2346.15
27528;27;24;1343.23;1926.15;2386.77;8;1581.55
27533;27;1;1783.33;1783.33;1783.33;0;0
27537;27;1;1548.78;1548.78;1548.78;0;0
27542;27;1;1102.04;1102.04;1102.04;1;1102.04
27554;27;13;1183.78;1246.15;1363.64;4;1406.45
27562;27;52;1630.63;1758.83;1966.67;12;2084.9
27598;27;1;1622.5;1622.5;1622.5;0;0
27602;27;11;1669.65;1833.33;2158.97;1;2765.96
27622;27;1;862.07;862.07;862.07;0;0
27629;27;1;1081.63;1081.63;1081.63;1;1081.63
27633;27;4;869.98;1034.59;1201.89;3;1189.19
27643;27;7;801.28;833.33;859.38;0;0
27674;27;2;1028.13;1063.04;1097.95;2;1063.04
27679;27;69;1228.07;1571.43;1814.81;48;1571.43
27681;27;447;2290.58;2678.57;3073.22;232;2750
27684;27;6;1533.22;1765.52;1891.39;4;1862.78
27701;27;55;1513.16;1632.65;1810.66;28;1632.65
28001;28;6;1831.08;2051.72;2246.85;3;2211.54
28007;28;11;1834.65;2225.81;2700;7;2636.36
28012;28;1;657.89;657.89;657.89;1;657.89
28013;28;2;1575;1650;1725;0;0
28015;28;47;1817.93;2090.91;2273.34;28;2125
28023;28;2;2277.48;2383.54;2489.6;2;2383.54
28036;28;4;2244.44;2420.64;2712.32;1;2470.59
28037;28;2;533.02;547.17;561.32;0;0
28039;28;2;1921.38;2057.04;2192.7;0;0
28051;28;10;1556.52;1704.24;2030.61;2;1738.59
28052;28;2;1020.86;1170.77;1320.68;1;1470.59
28056;28;1;2475.34;2475.34;2475.34;0;0
28059;28;2;1261.36;1522.73;1784.09;0;0
28061;28;5;1063.83;1240.74;1414.29;2;1152.29
28064;28;1;2629.03;2629.03;2629.03;0;0
28085;28;1377;2001.41;2488.89;2936.17;720;2636.93
28088;28;90;845.5;1195.17;1452.38;42;1259.43
28089;28;12;1476.94;1611.11;1934.73;8;1611.11
28094;28;1;2085.71;2085.71;2085.71;1;2085.71
28103;28;1;746.67;746.67;746.67;0;0
28110;28;62;2454.23;2713.53;3000;34;2925.56
28113;28;5;1666.67;1710.53;1750;4;1730.26
28116;28;2;1448.85;1457.7;1466.56;1;1440
28122;28;1;2800;2800;2800;1;2800
28134;28;471;1101.74;1446.15;2063;156;1774.68
28135;28;2;2072.07;2181.38;2290.69;0;0
28140;28;156;2333.27;2828.83;3076.92;106;2965.68
28146;28;1;2926.83;2926.83;2926.83;1;2926.83
28168;28;23;1538.75;1938.06;2184.45;10;2208.04
28172;28;2;2295.1;2299.3;2303.5;2;2299.3
28173;28;1;2539.77;2539.77;2539.77;1;2539.77
28185;28;2;2339.29;2488.1;2636.9;0;0
28188;28;1;1428.57;1428.57;1428.57;0;0
28191;28;7;2376.47;2777.78;3004.8;4;3004.8
28196;28;3;1252.14;1342.86;1361.08;1;1342.86
28199;28;1;1718.75;1718.75;1718.75;0;0
28201;28;1;2368.42;2368.42;2368.42;0;0
28209;28;55;1974.53;2268.35;2580.8;23;2500
28213;28;5;1721.43;2071.43;2450.93;4;2261.18
28214;28;6;952.08;1025.14;1408.41;1;1513.89
28218;28;230;1833.33;2268.23;2584.15;138;2397.58
28220;28;57;1527.78;2000;2574.71;21;2355.77
28227;28;35;2019.54;2400;2786.62;27;2500
28229;28;172;1646.49;2092.95;2500;69;2388.64
28233;28;1;661.29;661.29;661.29;0;0
28236;28;2;862.96;952.67;1042.37;1;1132.08
28253;28;1;1793.51;1793.51;1793.51;0;0
28267;28;1;1023.08;1023.08;1023.08;0;0
28269;28;2;2312.5;2416.67;2520.83;1;2208.33
28278;28;2;5687.64;6000.27;6312.91;1;5375
28279;28;43;1405.56;1901.32;2151.3;34;1938.33
28280;28;129;896.23;1111.11;1389.74;64;1085.14
28298;28;16;2149.41;2744.71;3078.79;14;2834.03
28334;28;2;550.8;596.37;641.93;1;687.5
28347;28;2;2919.37;2981.6;3043.83;1;2857.14
28348;28;2;1092.03;1112.64;1133.24;0;0
28358;28;1;1832.53;1832.53;1832.53;0;0
28359;28;1;1600;1600;1600;0;0
28364;28;4;958.79;1175.3;1331.48;2;1342.2
28373;28;5;1120.69;1151.52;1285;1;1634.15
28377;28;4;1839.99;1913.91;2150.18;3;1972.97
28391;28;16;1068.18;1241.88;1625;7;1600
28393;28;2;1369.19;1453.54;1537.88;0;0
28404;28;57;1200;1489.8;1896;27;1804.35
28421;28;1;1162.79;1162.79;1162.79;0;0
28422;28;9;1118.18;1557.38;1714.29;7;1163.64
28425;28;1;2079.66;2079.66;2079.66;0;0
29001;29;1;1953.13;1953.13;1953.13;0;0
29002;29;1;1875;1875;1875;1;1875
29003;29;82;2144.65;2800.35;3362.4;51;3035.37
29004;29;11;1633.38;1779.76;2067.14;5;2109.29
29006;29;214;2941.26;3626.45;4468.09;165;3696.88
29011;29;14;2707.53;2950.82;3030.16;12;2950.82
29012;29;1;970.91;970.91;970.91;1;970.91
29015;29;1;2142.86;2142.86;2142.86;1;2142.86
29019;29;5999;1750;2090.91;2530.46;2334;2333.33
29020;29;14;1513.18;2443.53;2953.41;8;2062.92
29021;29;13;2023.81;2500;2689.19;13;2500
29022;29;30;2133.23;3112.44;3760.77;17;3363.64
29023;29;58;2313.18;3089.74;3799.11;27;2886.96
29024;29;43;1291.15;1586.62;1891.72;22;1511.36
29026;29;33;1057.63;1283.02;1569.77;13;1351.35
29027;29;2;843.32;1038.4;1233.49;0;0
29030;29;2;2162.5;2866.67;3570.83;2;2866.67
29031;29;48;3374.27;4211.94;4951.61;41;4545.45
29032;29;1;3750;3750;3750;1;3750
29037;29;21;2796.61;2931.51;3242.42;13;3139.44
29039;29;468;2700;3333.33;4067.44;233;3333.33
29040;29;21;2378.05;2678.72;3651.72;13;3163.27
29042;29;109;1812.5;2297.71;3000;69;2333.33
29045;29;2;2829.2;2829.2;2829.2;0;0
29046;29;253;1857.14;2276.92;2795.45;146;2454.92
29048;29;1;3766.67;3766.67;3766.67;1;3766.67
29051;29;3;1390.18;1842.86;2260.71;0;0
29056;29;1;1809.91;1809.91;1809.91;0;0
29057;29;29;3113.21;4120;4460.47;23;4264.71
29058;29;148;3220.24;3865.79;4783.53;108;3903.91
29060;29;2;2390.03;2648.91;2907.79;0;0
29061;29;16;2008.26;2593.84;2975.12;8;2327.17
29069;29;20;2007.77;2135.21;2392.56;7;2803.06
29072;29;36;2287.5;2563.44;2836.12;17;2682.93
29075;29;74;2113.04;2543.44;2851.68;32;2621.05
29076;29;4;1656.61;1951.72;2056.27;2;1570.61
29081;29;7;669.86;736.11;770.97;3;800
29082;29;1;1000;1000;1000;1;1000
29085;29;17;3369.57;4653.06;6681.25;13;6216.22
29094;29;1;1328.13;1328.13;1328.13;0;0
29098;29;7;2030.57;2284.62;2931.03;6;2521.62
29101;29;17;1987.8;2588.24;2676.92;10;2556.48
29103;29;244;1706.41;2114.84;2463.42;112;2294.23
29105;29;95;1010.88;1197.83;1739.14;32;1739.14
29111;29;1;2164.56;2164.56;2164.56;0;0
29117;29;42;1943.42;2244.58;2405.78;16;2377.98
29120;29;18;1255.48;1394.44;1440.48;0;0
29124;29;74;1507.73;1735.76;1994.19;45;1836.73
29130;29;4;2004.42;2428.37;2919.49;2;2823.71
29133;29;18;3525.37;4223.44;4767.4;11;3923.08
29135;29;16;2298.57;2744.05;2948.47;8;2885.08
29140;29;1;858.93;858.93;858.93;0;0
29147;29;1;1200;1200;1200;0;0
29148;29;2;488.93;549.29;609.64;1;670
29150;29;31;2479.36;2929.8;3751.79;22;3130.17
29151;29;414;1057.54;1357.46;1704.41;160;1440.09
29153;29;6;2035.3;2762.48;3679.71;2;3961.11
29155;29;1;3796.88;3796.88;3796.88;1;3796.88
29158;29;31;1763.82;2119.05;2831.44;23;2500
29160;29;20;1941.9;2375;2550.12;8;2624.64
29161;29;4;2027.41;2617.5;3163.75;1;3117.8
29162;29;1;1171.88;1171.88;1171.88;0;0
29165;29;10;2578.08;3211.07;3655.54;6;3208.22
29167;29;3;937.33;1122.45;1129.41;1;1122.45
29170;29;8;2373.83;2481.45;2643.26;3;2558.14
29171;29;1;2111.11;2111.11;2111.11;0;0
29172;29;3;3016.38;3034.48;3342.82;2;3324.72
29174;29;1;1863.64;1863.64;1863.64;1;1863.64
29177;29;3;1977.47;2169.23;2566.76;1;2964.29
29178;29;11;1331.55;1521.05;1964.65;2;1752.91
29179;29;1;1700;1700;1700;0;0
29185;29;9;1147.54;1562.5;2114.29;4;2528.39
29188;29;26;2193.51;2744.54;3309.38;17;2857.14
29189;29;71;1832.38;2404.26;2636.03;29;2510.64
29190;29;73;2484.85;2742.22;3166.67;41;2869.57
29195;29;17;2250;2475;2700;9;2700
29196;29;1;1343.28;1343.28;1343.28;0;0
29197;29;18;2312.5;2817.53;3503.57;13;2896.97
29207;29;3;1520.28;1676.92;1767.03;0;0
29209;29;3;1847.68;1971.83;2235.92;1;2500
29210;29;4;986.5;1252.33;1570.51;0;0
29212;29;28;2619.53;2784.92;2946.66;14;2861.01
29213;29;1;1646.34;1646.34;1646.34;0;0
29217;29;11;2113.29;2462.69;3028.02;5;2386.36
29218;29;7;1684.01;2031.01;3355.07;0;0
29220;29;176;1986.8;2259.98;2696.74;109;2426.47
29222;29;6;771.81;841;923.21;1;888.89
29226;29;1;2600;2600;2600;1;2600
29228;29;1;1875;1875;1875;1;1875
29232;29;2174;1658.22;2069.33;2500;1072;2237.62
29233;29;141;1735.71;2053.57;2413.79;69;2244.9
29235;29;95;2203.5;2554.35;3050.1;36;2802.78
29236;29;2;2772.73;2863.64;2954.55;2;2863.64
29237;29;3;1848.16;1916.67;1916.67;0;0
29239;29;95;2539.58;3281.25;3817.5;71;3383.72
29241;29;33;1369.86;1518.03;1754.39;11;1518.03
29245;29;1;2394.37;2394.37;2394.37;0;0
29247;29;5;1250;2150;2462.22;4;2306.11
29254;29;35;1263.3;1666.67;2310.41;20;1547.62
29256;29;58;1884.89;2766.67;3625;58;2766.67
29257;29;2;1498.89;1517.78;1536.67;0;0
29259;29;78;1425.53;1645.2;2039.18;37;1632.88
29260;29;74;1750;2336.77;2743.46;36;2444.3
29265;29;1;1642.86;1642.86;1642.86;0;0
29268;29;1;1945.21;1945.21;1945.21;0;0
29273;29;5;967.74;2000;2555.56;4;1761.65
29280;29;1;1761.19;1761.19;1761.19;0;0
29284;29;1;2482.14;2482.14;2482.14;0;0
29293;29;31;1923.04;2390.75;2676.62;18;2545.04
29296;29;1;2000;2000;2000;0;0
29297;29;3;2606.25;2625;2663.85;3;2625
29300;29;1;1272.94;1272.94;1272.94;0;0
29302;29;1;1500;1500;1500;1;1500
2A001;2A;15;3833.33;4263.56;4886.36;6;4802.03
2A004;2A;2205;2777.78;3666.67;4740.74;765;4353.82
2A006;2A;7;3317.61;4098.36;4380.03;2;2212.5
2A008;2A;69;4700;5756.97;6827.14;48;5943.4
2A017;2A;7;6522.88;6590.91;7274.48;6;6704.55
2A018;2A;3;1428.57;2000;2467.39;1;2934.78
2A021;2A;1;1233.33;1233.33;1233.33;1;1233.33
2A022;2A;1;1333.33;1333.33;1333.33;1;1333.33
2A024;2A;9;571.43;833.33;1447.73;3;1447.73
2A026;2A;1;1710.53;1710.53;1710.53;0;0
2A027;2A;1;555.56;555.56;555.56;0;0
2A028;2A;2;830.89;1361.77;1892.66;2;1361.77
2A031;2A;3;804.63;1211.54;2349.96;2;2349.96
2A032;2A;7;4765.76;4914.6;4931.56;5;4914.6
2A040;2A;1;4375;4375;4375;1;4375
2A041;2A;85;3230.77;4090.82;5670.48;40;4285.32
2A048;2A;44;4610.78;5374.22;5758.91;41;5391.3
2A056;2A;2;1387.32;1418.71;1450.09;1;1481.48
2A060;2A;1;1095.24;1095.24;1095.24;1;1095.24
2A061;2A;1;1857.14;1857.14;1857.14;1;1857.14
2A062;2A;1;586.21;586.21;586.21;0;0
2A065;2A;20;2481.06;3981.06;5320.83;9;5288.89
2A066;2A;2;620.9;825.14;1029.38;2;825.14
2A070;2A;31;3916.41;4730;5677.86;29;4730
2A071;2A;4;1803.47;2649.41;3569.94;2;3646.63
2A085;2A;16;2587.02;3426.47;3730.74;7;3500
2A090;2A;16;1847.78;2543.04;3577.01;10;3535.71
2A091;2A;3;571.43;571.43;682.54;0;0
2A092;2A;29;3125;3943.3;5200;21;4464.18
2A098;2A;5;4802.63;7571.43;7960.53;0;0
2A100;2A;1;677.97;677.97;677.97;0;0
2A103;2A;9;1681.42;3405.8;3956.52;1;576.92
2A104;2A;4;2414.31;3512.63;4605.26;1;2420
2A108;2A;3;737.18;833.33;975;2;737.18
2A114;2A;3;2745.89;2933.33;3497.92;1;4062.5
2A115;2A;1;1552.25;1552.25;1552.25;1;1552.25
2A128;2A;2;978.27;1104.56;1230.85;1;851.98
2A129;2A;1;900;900;900;1;900
2A130;2A;165;4742.22;5591.84;6655.17;134;5491.94
2A132;2A;2;2138.19;2794.91;3451.62;2;2794.91
2A139;2A;32;4700.36;5371.04;6253.26;22;5386.68
2A141;2A;2;434.07;518.14;602.21;1;686.27
2A142;2A;12;1221.48;1848.12;2634.48;6;2884.21
2A144;2A;2;949.19;980.02;1010.84;2;980.02
2A154;2A;1;1000;1000;1000;1;1000
2A160;2A;1;1058.82;1058.82;1058.82;0;0
2A163;2A;6;2251.77;2741.64;5510.71;5;3142.86
2A174;2A;2;403.7;432.4;461.1;2;432.4
2A189;2A;14;815.22;1800.41;5447.14;9;5447.14
2A198;2A;12;1319.81;1753.68;2565.79;5;2037.04
2A203;2A;1;2317.85;2317.85;2317.85;1;2317.85
2A209;2A;3;3083.67;3232.56;5281.86;1;3232.56
2A211;2A;6;1227.03;2165.6;2252.62;4;2165.6
2A212;2A;8;1777.78;2051.99;2976.15;7;2075
2A215;2A;3;3495.37;3696.63;3848.31;1;4000
2A228;2A;28;4936.7;5630.02;6505.83;17;5714.29
2A232;2A;1;4321.88;4321.88;4321.88;0;0
2A247;2A;270;3964.51;5214.49;6174.96;133;5535.71
2A249;2A;166;3107.24;3944.56;4702.28;95;4223
2A254;2A;5;666.67;1111.11;1326.09;5;1111.11
2A262;2A;2;562.93;725.86;888.79;1;400
2A268;2A;2;415;430;445;2;430
2A269;2A;47;2281.25;4135.88;4743.56;23;4276.92
2A270;2A;2;3431.25;3487.5;3543.75;2;3487.5
2A271;2A;48;3005.61;3393.55;3777.78;24;3763.89
2A272;2A;76;1375.62;1970.83;2465.61;30;2111.11
2A276;2A;13;3533.33;4850;5714.29;6;5677.66
2A278;2A;5;575;731.06;1666.67;2;537.5
2A279;2A;3;2033.33;3600;3633.33;3;3600
2A284;2A;4;1354.5;1800.99;2164.78;0;0
2A285;2A;2;1103.57;1307.14;1510.71;1;900
2A288;2A;7;2303.37;4246.58;5004.54;2;2812.21
2A300;2A;9;1085.71;1777.78;5108;7;4142.86
2A308;2A;7;1338.24;1656.25;2023.81;3;1656.25
2A312;2A;9;1550;2009.8;2333.33;4;2427.08
2A322;2A;3;700.76;833.33;1513.16;2;700.76
2A324;2A;1;2857.14;2857.14;2857.14;0;0
2A326;2A;3;2540.46;2927.08;3463.54;3;2927.08
2A330;2A;3;821.93;972.22;1255.34;2;821.93
2A331;2A;1;878.13;878.13;878.13;0;0
2A336;2A;3;2368.52;3590.55;3672.32;0;0
2A348;2A;21;1855.67;3400;3981.48;13;3875
2A349;2A;2;2038;2758.35;3478.71;0;0
2A357;2A;1;717.65;717.65;717.65;1;717.65
2A359;2A;4;586.01;1104.04;1657.28;0;0
2A362;2A;43;3376.62;4954.55;5878.33;22;4977.27
2B002;2B;1;2063.29;2063.29;2063.29;0;0
2B007;2B;3;614.29;900;937.5;2;937.5
2B009;2B;24;1773.68;2375.6;2686.03;5;2700
2B010;2B;20;4642.05;5216.6;5732.95;15;5300
2B012;2B;2;1498.68;1703.57;1908.45;1;1293.8
2B015;2B;1;1218.18;1218.18;1218.18;1;1218.18
2B016;2B;3;733.33;1166.67;3291.67;1;300
2B020;2B;15;2368.13;3000;3227.66;12;2807.69
2B023;2B;1;1666.67;1666.67;1666.67;0;0
2B025;2B;1;4625;4625;4625;1;4625
2B029;2B;1;3901.1;3901.1;3901.1;0;0
2B030;2B;2;3337.48;3697.21;4056.94;1;2977.75
2B033;2B;1042;2254.2;2892.86;3511.11;371;3071.43
2B034;2B;33;3582.86;3968.57;4672.57;19;4362.68
2B036;2B;1;1607.14;1607.14;1607.14;1;1607.14
2B037;2B;134;2379.66;2819.29;3203.6;53;3111.11
2B039;2B;1;605.26;605.26;605.26;1;605.26
2B042;2B;203;2619.13;3250;3735.47;108;3571.43
2B043;2B;60;2610.29;3514.35;4305.25;33;3600
2B046;2B;3;1206.4;1250;3225;3;1250
2B047;2B;3;759.79;833.33;835.08;0;0
2B049;2B;25;2285.71;2947.37;3743.9;12;2878.29
2B050;2B;417;3645.83;4690;5454.55;284;4861.57
2B051;2B;1;1903.79;1903.79;1903.79;0;0
2B052;2B;2;1142.86;1428.57;1714.29;2;1428.57
2B054;2B;1;1416.67;1416.67;1416.67;1;1416.67
2B057;2B;3;1490.53;2231.06;2347.01;2;1606.48
2B058;2B;9;1171.59;1239;1587.92;5;1230.93
2B059;2B;1;333.33;333.33;333.33;1;333.33
2B073;2B;2;647.32;669.64;691.96;2;669.64
2B077;2B;3;2603.04;2753.25;2765.58;1;2452.83
2B079;2B;3;857.84;882.35;1888.43;1;833.33
2B080;2B;1;1616.67;1616.67;1616.67;0;0
2B083;2B;1;1642.86;1642.86;1642.86;0;0
2B084;2B;7;2104.51;3750;4374.33;3;2177.78
2B086;2B;5;1958.33;2156.25;2581.82;3;2156.25
2B087;2B;34;1768.74;2365.91;3292.22;17;3325
2B088;2B;1;1375;1375;1375;1;1375
2B093;2B;6;3293.68;3743.61;4770.2;2;3053.05
2B095;2B;3;687.5;875;906.25;2;718.75
2B096;2B;185;2136.36;2763.16;3289.16;108;2997.5
2B101;2B;1;806.06;806.06;806.06;1;806.06
2B109;2B;4;2369.64;3420.18;3868.42;2;3913.16
2B112;2B;4;1767.12;2216.77;2750.1;2;2545.53
2B113;2B;2;862.5;975;1087.5;1;750
2B120;2B;55;2704.85;3101.89;3553.9;32;3177.28
2B122;2B;1;400;400;400;0;0
2B123;2B;40;1594.74;2548.02;3304.31;22;3290.13
2B124;2B;6;733.52;953.05;2231.39;2;792.05
2B134;2B;205;3380;4363.64;5112.9;120;4662.83
2B135;2B;7;437.5;1029.41;1729.17;4;764.71
2B136;2B;2;2920.64;2921.93;2923.23;2;2921.93
2B138;2B;1;3304.88;3304.88;3304.88;0;0
2B140;2B;3;950;1400;1793.75;3;1400
2B143;2B;99;2121.07;2439.19;3046.63;92;2464.23
2B145;2B;4;1300;1516.25;1731.83;0;0
2B147;2B;2;798.7;961.04;1123.38;1;636.36
2B148;2B;141;2406.8;2930.56;3305.25;76;2962.78
2B150;2B;102;3973.75;4943.53;5906.7;87;5000
2B152;2B;17;1943.18;2444.44;2663.41;9;2500
2B159;2B;2;675.77;843.61;1011.44;0;0
2B161;2B;1;375;375;375;0;0
2B162;2B;6;1028.78;1875.95;2384.55;4;1875.95
2B165;2B;1;3400;3400;3400;1;3400
2B166;2B;6;1703.3;1766.05;1842.44;2;2610.32
2B167;2B;8;1414.52;2819.44;3975;4;3751.85
2B168;2B;37;3174.6;4508.33;5230.5;21;4340
2B169;2B;3;868.79;904.26;1370.73;1;1837.21
2B170;2B;5;1148.65;1680.67;1948.59;1;681.82
2B172;2B;6;1701.42;2402.84;2620.76;1;1500
2B173;2B;6;1270.83;1770.49;2351.91;4;1866.67
2B178;2B;3;1192.6;1875;2709.65;2;1192.6
2B180;2B;1;566.67;566.67;566.67;0;0
2B182;2B;1;3400;3400;3400;1;3400
2B183;2B;1;3333.33;3333.33;3333.33;1;3333.33
2B185;2B;50;2654.52;3262.71;3897.23;28;3356.9
2B187;2B;1;1333.33;1333.33;1333.33;0;0
2B188;2B;6;1250;1570.71;2692.57;4;2180.57
2B190;2B;1;740.74;740.74;740.74;1;740.74
2B192;2B;1;676.06;676.06;676.06;0;0
2B193;2B;4;888.89;1150;1487.3;1;1300
2B194;2B;1;1160.71;1160.71;1160.71;1;1160.71
2B201;2B;2;414.28;463.98;513.68;1;364.58
2B205;2B;16;3955.36;4422.96;6215.69;10;5400
2B207;2B;53;2156.86;2496.95;2848;19;2536.59
2B208;2B;1;394.74;394.74;394.74;1;394.74
2B210;2B;3;1234.96;1363.64;1508.07;0;0
2B213;2B;1;300;300;300;1;300
2B214;2B;1;750;750;750;0;0
2B217;2B;1;1200;1200;1200;1;1200
2B218;2B;4;568.63;796.5;1198.59;1;1956.52
2B219;2B;3;520.58;635.89;875.64;0;0
2B220;2B;2;634.26;635.6;636.95;1;638.3
2B222;2B;1;833.33;833.33;833.33;1;833.33
2B223;2B;4;821.43;972.62;1512.5;1;3000
2B224;2B;8;2070.64;2784.72;3522.78;6;3218.89
2B225;2B;3;657.56;930.5;1091.71;3;930.5
2B227;2B;1;772.69;772.69;772.69;0;0
2B229;2B;1;3791.67;3791.67;3791.67;1;3791.67
2B233;2B;1;1388.89;1388.89;1388.89;0;0
2B234;2B;1;757.14;757.14;757.14;0;0
2B236;2B;2;667.83;877.32;1086.81;1;458.33
2B238;2B;4;763.39;909.2;1077.55;3;943.4
2B239;2B;4;1960.49;2287.28;2432.02;2;2556.35
2B242;2B;47;2837.21;3193.55;3416.71;46;3198.48
2B243;2B;1;750;750;750;0;0
2B245;2B;1;1551.02;1551.02;1551.02;1;1551.02
2B246;2B;4;1213.08;1899.91;2346.16;2;2387.44
2B250;2B;3;881.46;1096.26;1619.56;1;666.67
2B251;2B;21;2073.86;2844.68;2992.86;9;2902.13
2B255;2B;1;766.67;766.67;766.67;0;0
2B257;2B;2;3076.14;3307.42;3538.71;1;3770
2B260;2B;3;494.05;571.43;1369.05;3;571.43
2B261;2B;8;928.57;1472.85;2556.32;5;2368.42
2B265;2B;4;1026.72;1273.08;1867.86;1;1500
2B267;2B;1;846.15;846.15;846.15;0;0
2B274;2B;1;352.94;352.94;352.94;0;0
2B280;2B;2;1743.73;1986.66;2229.6;0;0
2B281;2B;10;2455;2787.62;4043.33;7;2500
2B283;2B;8;2868.39;3214.01;3940.68;3;3038.19
2B286;2B;8;819.44;1739.48;2711.3;3;2628.67
2B287;2B;2;2640.22;3357.37;4074.52;2;3357.37
2B290;2B;5;1812.5;2322.22;2500;2;3114.58
2B291;2B;1;743.24;743.24;743.24;0;0
2B293;2B;3;708.33;1000;1333.33;2;708.33
2B298;2B;69;3518.52;4380.95;5631.58;40;4807.97
2B299;2B;3;483.95;539.32;545.14;2;483.95
2B301;2B;1;333.33;333.33;333.33;0;0
2B302;2B;1;1357.14;1357.14;1357.14;0;0
2B303;2B;3;2350.55;2724.64;2924.82;1;3125
2B305;2B;74;2654.45;3169.48;3677.14;36;2993.14
2B306;2B;1;625;625;625;0;0
2B307;2B;67;2599.48;2904.5;3171.03;57;2822.96
2B309;2B;24;2529.17;3172.81;3443.41;13;3307.5
2B311;2B;5;1943.18;2740;2968.75;4;2341.59
2B313;2B;188;2669.67;3072.25;3765.28;157;3174.07
2B314;2B;3;1708.35;1730.77;2115.38;3;1730.77
2B316;2B;18;2795.54;3841.86;4648.19;11;3636.36
2B317;2B;1;2060.71;2060.71;2060.71;1;2060.71
2B318;2B;7;2040.77;2225;2924.57;3;2727.27
2B321;2B;2;734.38;781.25;828.13;2;781.25
2B327;2B;8;1912.82;2128.78;2586.13;4;2128.78
2B328;2B;1;1824.58;1824.58;1824.58;1;1824.58
2B329;2B;2;792.86;885.71;978.57;1;700
2B332;2B;3;1397.5;2170;2780.65;2;2008.15
2B333;2B;1;1500;1500;1500;0;0
2B334;2B;1;2100;2100;2100;1;2100
2B335;2B;3;1914.07;2177.42;2362.9;0;0
2B337;2B;3;715.02;958.33;1229.17;1;471.7
2B339;2B;1;466.67;466.67;466.67;1;466.67
2B340;2B;1;813.33;813.33;813.33;1;813.33
2B341;2B;10;583.99;1250;1656.2;2;825
2B342;2B;9;833.33;1194.03;2909.09;6;1146.98
2B343;2B;12;1267.65;1477.27;2811.78;5;1428.57
2B346;2B;20;2062.5;2650.36;2764.97;10;2674.1
2B347;2B;1;1742.86;1742.86;1742.86;1;1742.86
2B350;2B;3;854.17;1125;1562.5;2;1562.5
2B352;2B;4;2272.99;2878.85;3065.21;2;3181.71
2B353;2B;91;2909.69;3482.14;4019.49;23;3559.52
2B354;2B;2;699.51;845.13;990.74;0;0
2B355;2B;1;1665.38;1665.38;1665.38;0;0
2B356;2B;2;1056.08;1594.92;2133.76;1;2672.6
2B365;2B;1;600;600;600;1;600
2B366;2B;1;781.25;781.25;781.25;1;781.25
30003;30;100;2873.16;3535.83;4594;54;4113.87
30004;30;7;2319.29;2468.03;2794.64;2;2679.49
30005;30;1;3740.43;3740.43;3740.43;1;3740.43
30006;30;32;2722.93;3126.81;3563.71;12;3671.46
30007;30;891;1095.33;1377.78;1864.65;351;1468.75
30008;30;1;2464.79;2464.79;2464.79;0;0
30009;30;2;548.61;597.22;645.83;2;597.22
30010;30;27;995.45;1366.67;1691.21;12;1173.84
30011;30;173;2669.61;3022.22;3400;73;3022.22
30012;30;21;1758.24;2038.83;3055.56;9;3075
30016;30;6;985.66;1039.33;1259.16;0;0
30018;30;3;1825.44;1963.38;2187.24;0;0
30019;30;20;2051.77;2371.32;2563.49;7;2377.78
30020;30;4;1722.21;2207.65;2714.83;1;2884.62
30021;30;1;2464.77;2464.77;2464.77;0;0
30024;30;2;446.71;564.47;682.24;1;800
30025;30;5;592.92;916.67;1292.71;3;1292.71
