INSEE_C;DEP;n;p25;p50;p75;n_small;p50_small
05151;05;13;1634.05;2500;3269.23;6;2555.31
05153;05;65;2112.5;2352.94;2670.76;49;2413.33
05154;05;1;1400;1400;1400;1;1400
05156;05;12;2647.59;3026.43;3306.52;9;3080.65
05157;05;13;1437.5;2357.14;2715.38;4;2691.03
05158;05;1;2253.85;2253.85;2253.85;0;0
05161;05;212;3549.91;4397.8;5320.78;150;4552.38
05162;05;15;1848.6;2097.56;2268.55;5;2187.5
05163;05;2;3500;3516.13;3532.26;2;3516.13
05164;05;42;3011.07;3383.2;4109.47;29;3480.49
05166;05;24;777.6;1115.36;1462.97;5;1511.63
05168;05;3;1339.13;1478.26;1644.54;3;1478.26
05170;05;24;1364.13;1735.52;2220.37;8;1866.67
05174;05;9;1819.74;2142.86;2805.74;4;2418.89
05176;05;4;1529.72;1830.71;2377.21;1;3140
05177;05;360;2900;3562.5;4319.64;303;3576.92
05179;05;75;1086.88;1300;1465.53;27;1224.49
05180;05;7;1962.79;2395.83;2558.81;5;2395.83
05181;05;2;2458.33;2472.22;2486.11;2;2472.22
05182;05;1;2444.44;2444.44;2444.44;1;2444.44
05183;05;6;1895.45;2690.38;2993.52;2;2690.38
05184;05;1;731.71;731.71;731.71;0;0
06001;06;3;671.72;888.89;1444.44;3;888.89
06003;06;48;1043.68;1357.46;1689.94;36;1372.56
06004;06;5992;4037.86;4930.39;5992.74;3097;5107.14
06005;06;3;990.91;1500;1836.21;3;1500
06006;06;13;3174.59;4800;5266.13;4;3393.94
06007;06;36;3487.03;4502.38;5101.78;13;4311.96
06009;06;1;1253.33;1253.33;1253.33;1;1253.33
06010;06;43;2207.46;2947.65;3335.48;21;2947.65
06011;06;348;6057.69;7424.24;9064.31;165;7340
06012;06;810;5426.49;6575.19;7928.62;500;6777.27
06013;06;42;1003.13;1429.17;1728.36;34;1473.61
06014;06;10;2992.58;3258.27;3683.14;7;3500
06015;06;16;1532.87;1865.15;2174.64;5;1863.64
