insee,dept,lon,lat,name
01165,01,4.81110,46.07070,Francheleins
01166,01,4.78190,45.99050,Frans
01167,01,4.82890,46.21240,Garnerans
01169,01,4.79260,46.12110,Genouilleux
01170,01,5.54970,46.18840,Béard-Géovreissiat
01171,01,5.61630,46.25180,Géovreisset
01173,01,6.04880,46.35150,Gex
01174,01,5.78910,46.22090,Giron
01175,01,4.95070,46.41570,Gorrevod
01177,01,5.43880,46.20890,Grand-Corent
01179,01,4.84750,46.26690,Grièges
01180,01,6.11390,46.33180,Grilly
01181,01,5.61790,46.22700,Groissiat
01183,01,4.78390,46.10600,Guéreins
01184,01,5.43110,46.15920,Hautecourt-Romanèche
01185,01,5.57750,45.93050,Plateau d'Hauteville
01187,01,5.68460,46.04360,Haut Valromey
01188,01,4.88840,46.18380,Illiat
01189,01,5.76780,46.05050,Injoux-Génissiat
01190,01,5.57230,45.78750,Innimond
01191,01,5.52340,46.03800,Izenave
01192,01,5.56090,46.21600,Izernore
01193,01,5.63870,45.65550,Izieu
01194,01,4.76260,45.97710,Jassans-Riottier
01195,01,5.31700,46.21760,Jasseron
01196,01,5.11170,46.36980,Jayat
01197,01,5.33330,46.14550,Journans
01198,01,5.09980,45.94600,Joyeux
01199,01,5.41220,46.05030,Jujurieux
01200,01,5.49450,46.09150,Labalme
01202,01,5.33960,45.88630,Lagnieu
01203,01,4.90060,46.24620,Laiz
01204,01,5.69550,46.13920,Le Poizat-Lalleyriat
01206,01,5.53790,46.05310,Lantenay
01207,01,4.98210,45.98490,Lapeyrouse
01208,01,5.77070,45.81080,Lavours
01209,01,5.87680,46.11140,Léaz
01210,01,5.92740,46.28560,Lélex
01211,01,5.19740,46.11650,Lent
01212,01,5.15730,46.40890,Lescheroux
01213,01,5.29270,45.92870,Leyment
01214,01,5.47670,46.16050,Leyssard
01215,01,5.76660,46.03020,Surjoux-Lhopital
01216,01,5.53980,45.74690,Lhuis
01219,01,5.52630,45.81180,Lompnas
01224,01,5.21630,45.79530,Loyettes
01225,01,4.78020,46.06280,Lurcy
01227,01,5.71970,45.77630,Magnieu
01228,01,5.53500,46.12040,Maillat
01229,01,5.14620,46.32990,Malafretaz
01230,01,5.10640,46.43180,Mantenay-Montlin
01231,01,4.90260,46.36510,Manziat
01232,01,5.24610,46.34520,Marboz
01233,01,5.55090,45.77620,Marchamp
01234,01,5.71800,45.80230,Marignieu
01235,01,5.07560,46.05420,Marlieux
01236,01,5.06080,46.34010,Marsonnas
01237,01,5.60990,46.20300,Martignat
01238,01,4.82790,45.91010,Massieux
01239,01,5.75660,45.75640,Massignieu-de-Rives
