code_qp;lib_qp;insee_reg;lib_reg;insee_dep;lib_dep;insee_com;lib_com;siren_epci;lib_epci;;;;;;;;;;;;;
QN00102M;Croix Blanche;84;Auvergne-Rhône-Alpes;1;Ain;1053;Bourg-en-Bresse;200071751;CA Bourg;;;;;;;;;;;;;
QN00101M;Grande Reyssouze Terre Des Fleurs;84;Auvergne-Rhône-Alpes;1;Ain;1053;Bourg-en-Bresse;200071751;CA Bourg;;;;;;;;;;;;;
QN00103M;Les Courbes De L'Albarine;84;Auvergne-Rhône-Alpes;1;Ain;1004;Ambérieu-en-Bugey;240100883;CC Plaine;;;;;;;;;;;;;
QN00201M;Europe;32;Hauts-de-France;2;Aisne;"02571; 02691";"Omissy; Saint-Quentin";200071751;CA Saint-Quentin;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
